rank,name,year_min,year_max,n_percent,n_sum,year_pop
1.0,Mary,1880,2022,2.3,4134713,1921
2.0,Elizabeth,1880,2022,3.2,1668146,1990
3.0,Patricia,1884,2022,4.1000000000000005,1573024,1951
4.0,Jennifer,1919,2022,4.9,1470012,1972
5.0,Linda,1880,2022,5.7,1454120,1947
6.0,Barbara,1880,2022,6.5,1435692,1947
7.0,Margaret,1880,2022,7.199999999999999,1257878,1921
8.0,Susan,1880,2022,7.8,1122752,1955
9.0,Dorothy,1880,2022,8.4,1110081,1924
10.0,Sarah,1880,2022,9.0,1090100,1982
11.0,Jessica,1880,2022,9.6,1049194,1987
12.0,Helen,1880,2022,10.2,1022012,1918
13.0,Nancy,1880,2022,10.7,1003566,1947
14.0,Betty,1880,2022,11.3,1000542,1930
15.0,Karen,1881,2022,11.799999999999999,987373,1957
16.0,Lisa,1886,2022,12.4,966366,1965
17.0,Anna,1880,2022,12.9,906450,1918
18.0,Emily,1880,2022,13.4,878680,1999
19.0,Sandra,1904,2022,13.8,874837,1947
20.0,Ashley,1917,2022,14.299999999999999,853551,1987
21.0,Kimberly,1933,2022,14.799999999999999,842721,1970
22.0,Donna,1880,2022,15.2,831331,1959
23.0,Ruth,1880,2022,15.7,830881,1920
24.0,Carol,1880,2022,16.2,816696,1946
25.0,Michelle,1915,2022,16.6,814278,1969
26.0,Laura,1880,2022,17.0,799228,1964
27.0,Amanda,1880,2022,17.5,788706,1987
28.0,Melissa,1880,2022,17.9,757811,1979
29.0,Rebecca,1880,2022,18.3,753121,1981
30.0,Stephanie,1891,2022,18.7,743331,1990
31.0,Deborah,1880,2022,19.1,741899,1954
32.0,Emma,1880,2022,19.5,736186,2003
33.0,Sharon,1900,2022,19.900000000000002,722462,1947
34.0,Kathleen,1880,2022,20.3,712962,1951
35.0,Cynthia,1880,2022,20.7,710553,1957
36.0,Amy,1880,2022,21.099999999999998,697578,1975
37.0,Shirley,1880,2022,21.5,685943,1935
38.0,Angela,1880,2022,21.9,670092,1971
39.0,Catherine,1880,2022,22.2,664887,1956
40.0,Virginia,1880,2022,22.6,651230,1922
41.0,Katherine,1880,2022,23.0,645763,1990
42.0,Evelyn,1880,2022,23.3,612233,1921
43.0,Brenda,1897,2022,23.599999999999998,607927,1957
44.0,Pamela,1895,2022,24.0,594790,1954
45.0,Frances,1880,2022,24.3,593120,1918
46.0,Nicole,1937,2022,24.6,591769,1985
47.0,Samantha,1880,2022,24.9,586219,1990
48.0,Christine,1880,2022,25.3,585853,1952
49.0,Alice,1880,2022,25.6,577665,1921
50.0,Rachel,1880,2022,25.900000000000002,570115,1985
