name,sex,year_min,year_max,n_sum,year_pop
Mary,F,1880,2022,4134713,1921
Elizabeth,F,1880,2022,1668146,1990
Patricia,F,1884,2022,1573024,1951
Jennifer,F,1919,2022,1470012,1972
Linda,F,1880,2022,1454120,1947
Barbara,F,1880,2022,1435692,1947
Margaret,F,1880,2022,1257878,1921
Susan,F,1880,2022,1122752,1955
Dorothy,F,1880,2022,1110081,1924
Sarah,F,1880,2022,1090100,1982
Jessica,F,1880,2022,1049194,1987
Helen,F,1880,2022,1022012,1918
Nancy,F,1880,2022,1003566,1947
Betty,F,1880,2022,1000542,1930
Karen,F,1881,2022,987373,1957
Lisa,F,1886,2022,966366,1965
Anna,F,1880,2022,906450,1918
Emily,F,1880,2022,878680,1999
Sandra,F,1904,2022,874837,1947
Ashley,F,1917,2022,853551,1987
Kimberly,F,1933,2022,842721,1970
Donna,F,1880,2022,831331,1959
Ruth,F,1880,2022,830881,1920
Carol,F,1880,2022,816696,1946
Michelle,F,1915,2022,814278,1969
Laura,F,1880,2022,799228,1964
Amanda,F,1880,2022,788706,1987
Melissa,F,1880,2022,757811,1979
Rebecca,F,1880,2022,753121,1981
Stephanie,F,1891,2022,743331,1990
Deborah,F,1880,2022,741899,1954
Emma,F,1880,2022,736186,2003
Sharon,F,1900,2022,722462,1947
Kathleen,F,1880,2022,712962,1951
Cynthia,F,1880,2022,710553,1957
Amy,F,1880,2022,697578,1975
Shirley,F,1880,2022,685943,1935
Angela,F,1880,2022,670092,1971
Catherine,F,1880,2022,664887,1956
Virginia,F,1880,2022,651230,1922
Katherine,F,1880,2022,645763,1990
Evelyn,F,1880,2022,612233,1921
Brenda,F,1897,2022,607927,1957
Pamela,F,1895,2022,594790,1954
Frances,F,1880,2022,593120,1918
Nicole,F,1937,2022,591769,1985
Samantha,F,1880,2022,586219,1990
Christine,F,1880,2022,585853,1952
Alice,F,1880,2022,577665,1921
Rachel,F,1880,2022,570115,1985
Maria,F,1880,2022,556976,1964
Janet,F,1880,2022,556522,1954
Carolyn,F,1880,2022,556154,1947
Debra,F,1914,2022,550576,1955
Martha,F,1880,2022,550398,1947
Marie,F,1880,2022,538655,1920
Heather,F,1914,2022,525394,1975
Olivia,F,1880,2022,523391,2014
Grace,F,1880,2022,519693,2003
Diane,F,1898,2022,518433,1955
Victoria,F,1880,2022,515034,1993
Julie,F,1880,2022,510169,1958
Joyce,F,1882,2022,508613,1942
Rose,F,1880,2022,493468,1917
Joan,F,1880,2022,480651,1932
Christina,F,1880,2022,478518,1985
Lauren,F,1924,2022,472988,1989
Kelly,F,1907,2022,472987,1977
Ann,F,1880,2022,469580,1957
Julia,F,1880,2022,469345,2001
Lillian,F,1880,2022,463105,1920
Doris,F,1880,2022,462312,1928
Jean,F,1880,2022,458207,1927
Kathryn,F,1880,2022,454172,1952
Judith,F,1880,2022,453727,1943
Hannah,F,1880,2022,453335,2000
Mildred,F,1880,2022,451107,1920
Andrea,F,1881,2022,440758,1981
Cheryl,F,1909,2022,439426,1958
Megan,F,1922,2022,438972,1990
Sara,F,1880,2022,431347,1981
Jacqueline,F,1891,2022,424441,1964
Teresa,F,1880,2022,415093,1961
Charlotte,F,1880,2022,414600,2021
Gloria,F,1881,2022,413928,1947
Janice,F,1894,2022,406192,1951
Madison,F,1970,2022,404939,2001
Theresa,F,1880,2022,404197,1961
Sophia,F,1880,2022,402112,2012
Abigail,F,1880,2022,396868,2003
Isabella,F,1880,2022,384250,2010
Judy,F,1880,2022,382609,1947
Beverly,F,1893,2022,377854,1953
Jane,F,1880,2022,376174,1947
Denise,F,1882,2022,373033,1961
Amber,F,1880,2022,373007,1986
Marilyn,F,1899,2022,372599,1947
Danielle,F,1937,2022,369994,1987
Natalie,F,1880,2022,369687,2006
Ruby,F,1880,2022,366029,1924
Diana,F,1880,2022,364555,1957
Brittany,F,1963,2022,359703,1989
Annie,F,1880,2022,355451,1922
Irene,F,1880,2022,354072,1921
Kayla,F,1933,2022,343794,1991
Alexis,F,1931,2022,342628,1998
Lori,F,1924,2022,341488,1963
Tiffany,F,1942,2022,337928,1988
Florence,F,1880,2022,336988,1918
Louise,F,1880,2022,334802,1921
Kathy,F,1910,2022,333949,1958
Ella,F,1880,2022,333909,2010
Lois,F,1880,2022,332570,1927
Tammy,F,1934,2022,331907,1963
Crystal,F,1884,2022,331499,1982
Taylor,F,1951,2022,327230,1993
Bonnie,F,1880,2022,326560,1947
Anne,F,1880,2022,323668,1959
Phyllis,F,1880,2022,322464,1947
Josephine,F,1880,2022,320137,1918
Ava,F,1880,2022,317672,2007
Erin,F,1888,2022,315436,1983
Eleanor,F,1880,2022,315028,1920
Alyssa,F,1950,2022,312148,1999
Allison,F,1908,2022,311225,1994
Audrey,F,1881,2022,296853,2015
Shannon,F,1912,2022,295510,1970
Edna,F,1880,2022,294795,1918
Peggy,F,1880,2022,292714,1958
Tina,F,1880,2022,291914,1968
Clara,F,1880,2022,291117,1918
Robin,F,1904,2022,290835,1961
Dawn,F,1888,2022,289371,1970
Rita,F,1880,2022,283945,1949
Hazel,F,1880,2022,283527,1918
Wanda,F,1880,2022,281144,1957
Paula,F,1880,2022,279759,1963
Ethel,F,1880,2022,278840,1918
Norma,F,1880,2022,277815,1931
Eva,F,1880,2022,277813,1918
Mia,F,1933,2022,275334,2015
Ellen,F,1880,2022,274545,1951
Marjorie,F,1880,2022,273249,1921
Jamie,F,1884,2022,269859,1977
Leslie,F,1880,2022,269078,1957
Edith,F,1880,2022,269075,1918
Valerie,F,1884,2022,267036,1959
Connie,F,1880,2022,266635,1955
Gladys,F,1880,2022,266560,1920
Carrie,F,1880,2022,266163,1977
Esther,F,1880,2022,264580,1918
Wendy,F,1918,2022,261758,1967
Elaine,F,1880,2022,260208,1947
Brianna,F,1963,2022,259791,2000
Vanessa,F,1900,2022,258821,1985
Courtney,F,1881,2022,258107,1990
Cindy,F,1886,2022,256934,1957
Melanie,F,1886,2022,256146,1972
Jasmine,F,1906,2022,253912,1993
Tracy,F,1884,2022,251147,1970
Monica,F,1880,2022,250103,1979
Leah,F,1880,2022,244533,2009
Amelia,F,1880,2022,243048,2021
Sylvia,F,1880,2022,242421,1937
Caroline,F,1880,2022,242120,2000
Alexandra,F,1894,2022,241223,1993
April,F,1917,2022,241154,1980
Katie,F,1880,2022,239597,1986
Sheila,F,1907,2022,238500,1962
Chloe,F,1880,2022,235612,2009
Erica,F,1909,2022,231106,1986
Sherry,F,1909,2022,229875,1962
Lucille,F,1880,2022,228973,1920
Alicia,F,1881,2022,228674,1984
Pauline,F,1880,2022,226233,1918
Thelma,F,1880,2022,225372,1921
Michele,F,1915,2022,223205,1968
Veronica,F,1880,2022,221479,1980
Lucy,F,1880,2022,220396,2016
Morgan,F,1918,2022,220236,1995
Suzanne,F,1880,2022,219089,1962
Vivian,F,1880,2022,218865,1920
Kristen,F,1938,2022,218346,1982
Anita,F,1880,2022,214677,1957
Joanne,F,1888,2022,211756,1947
Dolores,F,1880,2022,211249,1930
Geraldine,F,1880,2022,211041,1930
Lorraine,F,1882,2022,209338,1928
Rhonda,F,1910,2022,208020,1965
Jill,F,1906,2022,208016,1966
Bertha,F,1880,2022,207772,1918
Juanita,F,1880,2022,207471,1924
Sally,F,1880,2022,204623,1947
Darlene,F,1896,2022,204614,1958
Holly,F,1893,2022,203122,1983
Claire,F,1880,2022,201858,2016
Gail,F,1881,2022,201687,1951
June,F,1880,2022,199885,1925
Madeline,F,1880,2022,198597,1998
Brooke,F,1934,2022,195466,1996
Stella,F,1880,2022,194051,2018
Beatrice,F,1880,2022,193286,1921
Dana,F,1882,2022,192806,1971
Marion,F,1880,2022,188889,1924
Eileen,F,1882,2022,188218,1947
Debbie,F,1880,2022,187770,1959
Ida,F,1880,2022,187271,1918
Renee,F,1889,2022,185201,1962
Elsie,F,1880,2022,184135,1918
Savannah,F,1880,2022,184011,2000
Lynn,F,1880,2022,182204,1956
Bernice,F,1880,2022,182017,1921
Regina,F,1880,2022,181616,1962
Kim,F,1914,2022,179713,1960
Kristin,F,1932,2022,179221,1981
Jo,F,1881,2022,178942,1954
Lydia,F,1880,2022,178806,2014
Naomi,F,1880,2022,177634,2022
Gertrude,F,1880,2022,177022,1917
Loretta,F,1880,2022,176267,1938
Rosa,F,1880,2022,176046,1925
